"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2055524316356174044","Sat May 16 12:13:53 +0000 2026","0","@msaid_didu @tomlembong @nadiemmakarim Ahh..pengadaan itu bagian lkpp. Dan pengadaan chromebook itu laptop dengan berbagai merk ada acer zyrex asuz lenovo dll hanya saja OS nya chromeOS. Nah perusahaan2 besar itu nyuapnya ke lkpp agar bisa lolos tender. Nadiem ibam dan staf mentri yg ngrancang spesifikasinya.","2055622766183977103","","msaid_didu","in","","0","0","0","https://x.com/undefined/status/2055622766183977103","1491732901440135172",
"2055595387914703043","Sat May 16 11:30:38 +0000 2026","0","@tanyakanrl tab aja nder selain bisa buat nonton bisa buat scroll main sosmed dll dan bisa dibawa kemana-mana. 1. Huawei https://t.co/wh57PBl5Fk 2. Lenovo https://t.co/yyFeDbrEc1 3. ipad https://t.co/yyFeDbrEc1 4. Samsung https://t.co/giTaUauCeK https://t.co/J2LWyjzvVz","2055611881545699461","https://pbs.twimg.com/media/HIcAGu1bcAAFZSf.jpg","tanyakanrl","in","","0","0","0","https://x.com/undefined/status/2055611881545699461","2050616695090528256",
"2055606561582514519","Sat May 16 11:09:30 +0000 2026","0","Lenovo Legion Y7000X 2026 Resmi Hadir dengan RTX 5060 dan Layar OLED 165Hz https://t.co/SmerlvQYes","2055606561582514519","","","in","","0","0","0","https://x.com/undefined/status/2055606561582514519","239873274",
"2055595387017175426","Sat May 16 10:39:24 +0000 2026","0","@artistsbase Tergantung laptop dan sebanyak apa layer dan aset yg dipake. Aku pake lenovo ideapad 3 14IAU7 prosesor intel i3 sih lancar2 aja tapi berteriak minta tolong laptopnya. Wuih berisik betul tiap aku nambahin aset 3D","2055598989496799269","","artistsbase","in","","0","0","0","https://x.com/undefined/status/2055598989496799269","865118245908434944",
"2055586007731536354","Sat May 16 09:47:49 +0000 2026","1","Lenovo MLBB Zetian Es krim Earphone Bluetooth TWS Mikrofon internal earbuds HIFI Mendukung iPhone dan Android Cocok untuk bermain game dan mendengarkan musik Pengurangan kebisingan ENC Masa pakai baterai yang lama Tahan air dan keringat IPX5. https://t.co/kjUlA5smNu","2055586007731536354","","","in","","0","0","0","https://x.com/undefined/status/2055586007731536354","1875809963161088001",
"2055580469073477976","Sat May 16 09:25:49 +0000 2026","154","REVIEW TWS LENOVO aslinya cantikk banget ini detail tws nya https://t.co/IYJqJX4p2Z","2055580469073477976","https://pbs.twimg.com/media/HIbjidqbcAAFXFb.jpg","","in","","5","4","19","https://x.com/undefined/status/2055580469073477976","270742108",
"2055576947556851881","Sat May 16 09:16:49 +0000 2026","0","@shda_agatha_ Apa yang dimonopoli? Yang jual chromebook Lenovo Dell HP Acer dsb. Google kasi OS chromebook free basis Android. Dimana monopolinya? Apakah smartboard yang sekarang dikasi pemerintah juga berbasis Android adalah monopoli?","2055578203096596521","","shda_agatha_","in","","0","0","0","https://x.com/undefined/status/2055578203096596521","55090298",
"2055304643052442024","Sat May 16 08:18:42 +0000 2026","0","@ourmoonksj jujur aku blm bisa point out kelebihannya ini lenovo 14arp10 nis!","2055563580435812371","","ourmoonksj","in","","0","0","0","https://x.com/undefined/status/2055563580435812371","1014881000709648384",
"2051997770135802271","Sat May 16 07:13:45 +0000 2026","0","@Lenovo_ID Saya udah follow tetep gak bisa DM","2055547235853877500","","citchatt","in","","0","0","0","https://x.com/undefined/status/2055547235853877500","326011038",
"2051997770135802271","Sat May 16 07:02:02 +0000 2026","0","@Lenovo_ID Padahal saya selama proses tuh nanya² terus ke admin dan dia dengan enteng selalu jawab tinggal login aja pake email . Bener² gak dipandu","2055544286314398014","","citchatt","in","","0","0","0","https://x.com/undefined/status/2055544286314398014","326011038",
